Unnamed: 0,Locus,Pubmed_number,pmcid
1399,KP703998,27069820,PMC4824887
1400,KP703999,27069820,PMC4824887
1401,KP704000,27069820,PMC4824887
1402,KP704001,27069820,PMC4824887
1403,KP704002,27069820,PMC4824887
1404,KP704003,27069820,PMC4824887
1405,KP704004,27069820,PMC4824887
1406,KP704005,27069820,PMC4824887
1407,KP704006,27069820,PMC4824887
1408,KP704007,27069820,PMC4824887
1409,KP704008,27069820,PMC4824887
1410,KP704009,27069820,PMC4824887
1411,KP704010,27069820,PMC4824887
1412,KP704011,27069820,PMC4824887
1413,KP704012,27069820,PMC4824887
1414,KP704013,27069820,PMC4824887
1415,KP704014,27069820,PMC4824887
1416,KP704015,27069820,PMC4824887
1417,KP704016,27069820,PMC4824887
1418,KP704017,27069820,PMC4824887
1419,KP704018,27069820,PMC4824887
1420,KP704019,27069820,PMC4824887
1421,KP704020,27069820,PMC4824887
